day,rent,humidity,temperature,dust
2022-01-01,29185,46.3,-4.3,34
2022-01-02,28914,57.9,-1.3,42
2022-01-03,53573,58.3,-1.9,28
2022-01-04,56344,51.8,-2.5,37
2022-01-05,57413,47.6,-2.8,52
2022-01-06,59714,47.1,-2.2,59
2022-01-07,60422,47.1,-1.6,65
2022-01-08,45366,64.3,0.3,70
2022-01-09,38304,71.5,1.3,129
2022-01-10,58706,68.3,0.5,97
2022-01-11,39715,55.5,-7.4,33
2022-01-12,45304,47.8,-7.7,27
2022-01-13,43881,45.8,-6.4,29
2022-01-14,50087,41.8,-4.8,32
2022-01-15,41820,48.3,-1,52
2022-01-16,32433,54.5,-2,46
2022-01-17,36605,59.9,-5.8,30
2022-01-18,46018,47.9,-5.6,38
2022-01-19,27105,72.3,-5.3,56
2022-01-20,41568,63.5,-5,46
2022-01-21,51219,55.6,-2.7,44
2022-01-22,44304,52.4,0.3,68
2022-01-23,41704,52.4,2,79
2022-01-24,63894,56,4.6,24
2022-01-25,47991,80,2.8,37
2022-01-26,63246,62.8,1.3,66
2022-01-27,59413,50,-1.1,64
2022-01-28,56150,51.6,-2.7,34
2022-01-29,38024,48.9,-3.6,32
2022-01-30,31891,45.4,-2.8,36
2022-01-31,29553,59,-0.7,41
2022-02-01,14212,76.6,-1.3,52
2022-02-02,28743,60.5,-3.4,35
2022-02-03,46840,52.4,-3.4,28
2022-02-04,45787,53.3,-5.2,25
2022-02-05,31339,48.8,-6.6,25
2022-02-06,31079,50.3,-3.9,23
2022-02-07,52453,51.3,-2.5,30
2022-02-08,58927,53.8,-0.1,33
2022-02-09,62895,52.3,1,44
2022-02-10,64927,57.8,1.4,55
2022-02-11,67004,61.1,2.9,104
2022-02-12,58539,50.4,4.8,97
2022-02-13,52389,44.9,4.8,60
2022-02-14,46767,68.3,2.5,50
2022-02-16,42522,50.4,-7.3,32
2022-02-17,46195,41.6,-6.2,34
2022-02-18,56957,40.4,-1.2,51
2022-02-19,39653,52.9,-1.7,48
2022-02-20,30847,41.1,-4.8,36
2022-02-21,48680,56.3,-3,33
2022-02-22,48398,43.3,-4.5,34
2022-02-23,47234,38.5,-5.6,30
2022-02-24,53734,52.4,-2.4,33
2022-02-25,61573,77.5,3,69
2022-02-26,38403,78.4,5.4,61
2022-02-27,52957,56.6,3.7,52
2022-02-28,72542,62.3,6.8,46
2022-03-01,49748,70.5,5.8,34
2022-03-02,70625,55.9,3.5,30
2022-03-03,77700,52.9,5.8,48
2022-03-04,72968,60.5,6.9,88
2022-03-05,55988,38.4,2.3,111
2022-03-06,53875,39.5,1.4,49
2022-03-08,81170,56.1,6,58
2022-03-09,88625,69.6,7.1,63
2022-03-10,86435,51.4,9.3,65
2022-03-11,97284,58.4,11.2,70
2022-03-12,80704,72.1,12.8,67
2022-03-13,37571,95.5,11.7,15
2022-03-15,90277,72.6,7.2,43
2022-03-16,98151,62.6,10.3,65
2022-03-17,76285,62,10.7,59
2022-03-20,67396,66.1,5.4,25
2022-03-21,84756,49.5,5,32
2022-03-22,96050,48.9,7.1,39
2022-03-23,86793,56.8,6.2,33
2022-03-24,94936,70.6,8.2,45
2022-03-25,80415,70,12,64
2022-03-27,86816,49.1,8.1,35
2022-03-28,104291,35.6,8.2,39
2022-03-29,112845,52.9,9.7,40
2022-03-30,87831,76.5,10.8,36
2022-03-31,110528,63.5,10.9,24
2022-04-02,107302,55,8.2,34
2022-04-03,111356,55,9.6,45
2022-04-04,117648,50.3,10.3,50
2022-04-05,122858,41.1,10.3,41
2022-04-06,127811,52.3,11.7,50
2022-04-07,126797,43.5,10.9,40
2022-04-08,143545,49,12.9,54
2022-04-09,148007,43.8,17.8,58
2022-04-10,150889,46,18.2,51
2022-04-11,151754,60.4,19.6,36
2022-04-12,119002,77.9,19.3,27
2022-04-13,92089,69.3,13.1,13
2022-04-14,122654,53.4,13.2,14
2022-04-16,134241,48.5,13.2,39
2022-04-17,129927,53.8,14,47
2022-04-18,139226,46.1,15.2,50
2022-04-19,144447,51.9,15.2,60
2022-04-20,148079,48.8,15.7,59
2022-04-21,149044,48.4,16.3,43
2022-04-22,129271,76.8,15,52
2022-04-23,146570,57.3,17.7,53
2022-04-24,133084,72.5,18.5,50
2022-04-25,129831,80.5,20,44
2022-04-26,152367,57.9,21.9,47
2022-04-27,156150,31.5,17.7,169
2022-04-28,157045,44,18.2,77
2022-04-30,125572,68,13,25
2022-05-01,123804,54.8,13.4,48
2022-05-02,155868,56.5,14.2,45
2022-05-03,161630,45.9,14.8,40
2022-05-04,169370,43.3,17.8,42
