연도,계,승용,승합,화물,특수
2022 ,1499503 ,1262621 ,38269 ,186622 ,11991 
2021 ,1464608 ,1226983 ,39954 ,186202 ,11469 
2020 ,1429040 ,1189345 ,42056 ,186650 ,10989 
2019 ,1395183 ,1152712 ,43687 ,188272 ,10512 
2018 ,1371172 ,1125462 ,45441 ,190070 ,10199 
2017 ,1333224 ,1085121 ,47037 ,190987 ,10079 
2016 ,1295316 ,1044996 ,49288 ,191215 ,9817 
2015 ,1255722 ,1003721 ,51685 ,190980 ,9336 
2014 ,1214175 ,962093 ,54004 ,189022 ,9056 
2013 ,1183679 ,931099 ,56380 ,187425 ,8775 
2012 ,1175205 ,921034 ,58725 ,186946 ,8500 
2011 ,1159178 ,901334 ,61523 ,188052 ,8269 
2010 ,1147311 ,885945 ,64531 ,188731 ,8104 
2009 ,1116719 ,851684 ,68011 ,189029 ,7995 
2008 ,1038954 ,769463 ,69904 ,191635 ,7952 
2007 ,1010086 ,735941 ,71609 ,194713 ,7823 
2006 ,994292 ,718357 ,73780 ,194622 ,7533 
2005 ,979969 ,699786 ,76791 ,196099 ,7293 
2004 ,966417 ,679433 ,83048 ,196740 ,7196 
2003 ,955366 ,667191 ,85833 ,195601 ,6741 
2002 ,921084 ,638173 ,87903 ,189023 ,5985 
2001 ,862699 ,589257 ,87697 ,180393 ,5352 
2000 ,812369 ,547405 ,92069 ,167899 ,4996 
1999 ,760699 ,534132 ,66155 ,155775 ,4637 
1998 ,719862 ,516456 ,54155 ,144853 ,4398 
1997 ,720614 ,517957 ,53317 ,144863 ,4477 
1996 ,671958 ,476275 ,50247 ,141138 ,4298 
1995 ,604078 ,417752 ,47318 ,135001 ,4007 
1994 ,535108 ,361209 ,45305 ,125313 ,3281 
1993 ,469622 ,309488 ,42384 ,114944 ,2806 
1992 ,406755 ,259488 ,40187 ,104388 ,2692 
1991 ,346437 ,213485 ,36462 ,94103 ,2387 
1990 ,287058 ,167164 ,33619 ,84016 ,2259 
1989 ,234936 ,130501 ,28398 ,73916 ,2121 
1988 ,187609 ,97022 ,23530 ,58560 ,8497 
1987 ,152898 ,75444 ,18535 ,51332 ,7587 
1986 ,124460 ,59099 ,13941 ,44526 ,6894 
1985 ,106357 ,50189 ,11346 ,39085 ,5737 
1984 ,93783 ,43498 ,9858 ,35079 ,5348 
1983 ,80981 ,37116 ,8141 ,31041 ,4683 
1982 ,71017 ,32038 ,6436 ,28439 ,4104 
1981 ,66812 ,30287 ,5100 ,27885 ,3540 
1980 ,62419 ,28163 ,4506 ,26500 ,3250 
1979 ,59140 ,27395 ,4324 ,24296 ,3125 
1978 ,45114 ,20051 ,3598 ,18838 ,2627 
1977 ,31254 ,12882 ,2886 ,15176 ,310 
1976 ,26285 ,10531 ,2470 ,12677 ,607 
1975 ,23760 ,9128 ,2161 ,11892 ,579 
1974 ,21581 ,8188 ,1919 ,10909 ,565 
1973 ,19471 ,8041 ,1893 ,9000 ,537 
1972 ,16060 ,7000 ,1634 ,6980 ,446 
1971 ,15527 ,6773 ,1616 ,6754 ,384 
1970 ,13793 ,6086 ,1526 ,5915 ,266 
1969 ,12219 ,5382 ,1529 ,5025 ,283 
1968 ,9169 ,3622 ,1403 ,3705 ,439 
1967 ,6921 ,2645 ,1059 ,2889 ,328 
1966 ,4531 ,1806 ,979 ,1471 ,275 
1965 ,4518 ,1718 ,877 ,1718 ,205 
1964 ,4057 ,1589 ,848 ,1489 ,131 
1963 ,3810 ,1436 ,773 ,1444 ,157 
