rank,movie,sales,audiences,total_screen,total_showing,sales_per_showing,audience_per_showing
1,명량,"135,758,658,810",17615919,"1,587","188,726",719342.6386,93.34124074
2,극한직업,"139,657,105,516",16266480,"2,003","292,817",476943.2974,55.5516927
3,신과함께-죄와 벌,"115,727,528,087",14414658,"1,912","214,631",539192.9781,67.16018655
4,국제시장,"110,951,970,230",14265222,"1,044","212,714",521601.6352,67.06292017
5,어벤져스: 엔드게임,"122,492,181,020",13977602,"2,835","246,433",497060.7874,56.71968446
6,겨울왕국 2,"114,843,932,550",13750668,"2,648","299,454",383511.0987,45.91913282
7,베테랑,"105,170,856,250",13414484,"1,115","199,307",527682.7018,67.30563402
8,아바타,"125,304,346,000",13338863,917,"164,457",761927.7136,81.10851469
9,도둑들,"93,672,497,700",12984701,"1,091","155,487",602445.8488,83.50988186
10,7번방의 선물,"91,437,620,170",12812186,866,"167,014",547484.7628,76.7132456
11,알라딘,"109,041,960,039",12797927,"1,409","284,820",382845.1655,44.933386
12,암살,"98,469,385,781",12706947,"1,519","175,222",561969.3063,72.51913002
13,범죄도시2,"131,298,796,478",12693415,"2,521","355,768",369057.3533,35.67891154
14,"광해, 왕이 된 남자","88,913,283,469",12324062,"1,001","203,464",436997.6186,60.57121653
15,신과함께-인과 연,"102,689,349,539",12278010,"2,235","180,750",568129.1814,67.92813278
16,택시운전사,"95,871,631,649",12189706,"1,906","184,208",520453.138,66.17359724
17,부산행,"93,188,170,548",11567816,"1,788","151,535",614961.3657,76.33758538
18,변호인,"82,876,713,788",11375399,925,"152,290",544203.2556,74.6956399
19,해운대,"81,028,720,000",11325117,764,"154,332",525028.6396,73.38152165
20,어벤져스: 인피니티 워,"100,081,428,549",11233176,"2,553","243,677",410713.4795,46.09863056
21,괴물,"66,717,700,300",10917400,647,"113,105",589874.0135,96.52446841
22,아바타: 물의 길,"137,647,702,899",10805065,"2,809","283,037",486324.0597,38.17545056
23,범죄도시3,"104,687,037,771",10682743,"2,582","311,914",335627.8903,34.24900133
24,왕의 남자,"66,019,904,400",10514177,313,"111,193",593741.5521,94.55790382
25,어벤져스: 에이지 오브 울트론,"88,645,598,646",10504487,"1,843","194,385",456031.0654,54.03959668
26,인터스텔라,"83,072,616,000",10342523,"1,410","170,542",487109.4276,60.64502
27,기생충,"87,464,402,795",10313735,"1,948","206,480",423597.4564,49.95028574
28,겨울왕국,"82,544,207,680",10305051,"1,010","157,951",522593.7644,65.24207507
