x,y
19,13 
24,30 
45,49 
35,44 
31,30 
30,25 
25,19 
53,37 
36,28 
62,89 
40,57 
76,93 
77,69 
71,55 
69,72 
11,8 
7,9 
20,17 
38,22 
72,103 
100,127 
67,47 
72,63 
90,111 
14,9 
61,73 
94,110 
95,140 
99,61 
88,121 
31,17 
83,94 
40,58 
26,25 
66,48 
71,100 
9,6 
49,64 
46,36 
68,95 
40,36 
81,64 
94,122 
4,3 
16,24 
79,66 
95,81 
16,11 
95,118 
7,6 
63,82 
52,60 
90,133 
80,118 
21,26 
21,13 
32,31 
29,32 
84,97 
18,15 
61,38 
24,23 
61,88 
17,21 
93,80 
57,52 
77,45 
45,29 
84,102 
38,26 
30,16 
12,15 
18,12 
45,57 
76,65 
65,48 
4,5 
37,36 
65,95 
95,74 
88,94 
17,13 
69,98 
61,42 
59,67 
69,103 
58,77 
45,38 
83,72 
86,87 
31,18 
53,53 
25,26 
4,4 
6,5 
95,120 
34,48 
79,51 
66,36 
95,89 
