id,1st_area,2nd_area,difficulty,attempts,final_results
0001,출력,print(),1,,
0002,출력,print(),2,,
0003,출력,print(),3,,
0004,출력,print(),4,,
0005,출력,print(),5,,
0006,출력,print(),1,,
0007,출력,print(),2,,
0008,출력,print(),3,,
0009,출력,print(),4,,
0010,출력,print(),5,,
0011,변수와 입출력,input(),1,,
0012,변수와 입출력,input(),2,,
0013,변수와 입출력,input(),3,,
0014,변수와 입출력,input(),4,,
0015,변수와 입출력,input(),5,,
0016,변수와 입출력,input(),1,,
0017,변수와 입출력,input(),2,,
0018,변수와 입출력,input(),3,,
0019,변수와 입출력,input(),4,,
0020,변수와 입출력,input(),5,,
0021,연산자와 형변환,산술연산,1,,
0022,연산자와 형변환,산술연산,2,,
0023,연산자와 형변환,산술연산,3,,
0024,연산자와 형변환,산술연산,4,,
0025,연산자와 형변환,산술연산,5,,
0026,연산자와 형변환,산술연산,1,,
0027,연산자와 형변환,산술연산,2,,
0028,연산자와 형변환,산술연산,3,,
0029,연산자와 형변환,산술연산,4,,
0030,연산자와 형변환,산술연산,5,,
0031,연산자와 형변환,논리연산,1,,
0032,연산자와 형변환,논리연산,2,,
0033,연산자와 형변환,논리연산,3,,
0034,연산자와 형변환,논리연산,4,,
0035,연산자와 형변환,논리연산,5,,
0036,연산자와 형변환,논리연산,1,,
0037,연산자와 형변환,논리연산,2,,
0038,연산자와 형변환,논리연산,3,,
0039,연산자와 형변환,논리연산,4,,
0040,연산자와 형변환,논리연산,5,,
0041,연산자와 형변환,정수화,1,,
0042,연산자와 형변환,정수화,2,,
0043,연산자와 형변환,정수화,3,,
0044,연산자와 형변환,정수화,4,,
0045,연산자와 형변환,정수화,5,,
0046,연산자와 형변환,정수화,1,,
0047,연산자와 형변환,정수화,2,,
0048,연산자와 형변환,정수화,3,,
0049,연산자와 형변환,정수화,4,,
0050,연산자와 형변환,정수화,5,,
0051,연산자와 형변환,실수화,1,,
0052,연산자와 형변환,실수화,2,,
0053,연산자와 형변환,실수화,3,,
0054,연산자와 형변환,실수화,4,,
0055,연산자와 형변환,실수화,5,,
0056,연산자와 형변환,실수화,1,,
0057,연산자와 형변환,실수화,2,,
0058,연산자와 형변환,실수화,3,,
0059,연산자와 형변환,실수화,4,,
0060,연산자와 형변환,실수화,5,,
0061,연산자와 형변환,문자열화,1,,
0062,연산자와 형변환,문자열화,2,,
0063,연산자와 형변환,문자열화,3,,
0064,연산자와 형변환,문자열화,4,,
0065,연산자와 형변환,문자열화,5,,
0066,연산자와 형변환,문자열화,1,,
0067,연산자와 형변환,문자열화,2,,
0068,연산자와 형변환,문자열화,3,,
0069,연산자와 형변환,문자열화,4,,
0070,연산자와 형변환,문자열화,5,,
0071,데이터 구조,리스트,1,,
0072,데이터 구조,리스트,2,,
0073,데이터 구조,리스트,3,,
0074,데이터 구조,리스트,4,,
0075,데이터 구조,리스트,5,,
0076,데이터 구조,리스트,1,,
0077,데이터 구조,리스트,2,,
